src,dst,pt1_lat,pt1_lon,pt2_lat,pt2_lon,dist,time,bat
1,69,40.718037,-73.932309,39.572621,-75.053406,191933.0,9230.0,
1,70,40.718037,-73.932309,41.931182,-72.597616,202839.0,10211.0,
1,71,40.718037,-73.932309,44.680358,-72.36351,569741.0,27201.0,
1,72,40.718037,-73.932309,39.224956,-74.774461,228653.0,11043.0,
1,73,40.718037,-73.932309,38.485467,-75.823919,363264.0,17692.0,
1,74,40.718037,-73.932309,39.052532,-74.851683,247131.0,11580.0,
1,75,40.718037,-73.932309,43.067075,-77.306664,490289.0,23644.0,
1,76,40.718037,-73.932309,40.1216,-75.29016,164032.0,7913.0,
1,77,40.718037,-73.932309,40.75717,-73.76397,18064.0,1224.0,
1,78,40.718037,-73.932309,40.67626,-74.24808,35558.0,2438.0,
1,79,40.718037,-73.932309,41.07986,-75.58099,170557.0,8355.0,
1,80,40.718037,-73.932309,40.75402,-73.9493,6172.0,660.0,
1,81,40.718037,-73.932309,41.89222,-70.90753,328316.0,16473.0,
1,82,40.718037,-73.932309,39.4528,-76.31311,275518.0,12902.0,
1,83,40.718037,-73.932309,41.04002,-74.06268,51359.0,3151.0,
1,84,40.718037,-73.932309,36.77966,-76.23317,581765.0,28592.0,
1,85,40.718037,-73.932309,39.45187,-75.0998,208793.0,10120.0,
2,0,35.65758,-105.993406,39.586805,-110.813433,808835.0,36040.0,
2,1,35.65758,-105.993406,35.095006,-106.624119,92104.0,4101.0,
2,2,35.65758,-105.993406,32.214451,-110.945473,811023.0,32696.0,
2,3,35.65758,-105.993406,39.073697,-108.582361,650696.0,31106.0,
2,4,35.65758,-105.993406,33.984094,-106.887526,223843.0,9073.0,
2,5,35.65758,-105.993406,32.178328,-110.960207,808294.0,32506.0,
2,6,35.65758,-105.993406,32.267665,-107.768747,467399.0,19499.0,
2,7,35.65758,-105.993406,35.189976,-101.706309,461554.0,18258.0,
2,8,35.65758,-105.993406,35.191937,-101.760916,456449.0,18048.0,
2,9,35.65758,-105.993406,37.183969,-104.499646,317803.0,12397.0,
2,10,35.65758,-105.993406,36.706596,-101.443207,544324.0,22360.0,
2,11,35.65758,-105.993406,35.079896,-106.746225,102442.0,4424.0,
2,12,35.65758,-105.993406,35.064935,-106.784483,106420.0,4567.0,
2,13,35.65758,-105.993406,32.267588,-107.774524,467919.0,19525.0,
2,14,35.65758,-105.993406,35.01643,-110.675005,513623.0,19796.0,
